80,google.com.au
3594,google.com.bd
2531,google.com.bh
6392,google.com.bn
8451,google.com.bo
29,google.com.br
21772,google.com.bz
129397,google.com.cn
178,google.com.co
2677,google.com.cu
3150,google.com.cy
630,google.com.do
1042,google.com.ec
110,google.com.eg
11147,google.com.et
264478,google.com.fj
2404,google.com.gh
10661,google.com.gi
1056,google.com.gt
25,google.com.hk
162253,google.com.iq
7957,google.com.jm
2817,google.com.kh
514,google.com.kw
2109,google.com.lb
681,google.com.ly
1108,google.com.mm
10673,google.com.mt
60,google.com.mx
1137,google.com.my
10278,google.com.na
243,google.com.ng
3020,google.com.ni
3653,google.com.np
12700,google.com.om
999,afcincsite.com
